rank,verdict,in_corpus,cites,year,title,doi_url,authors,venue,rationale,sources
617,NO,,1,2018,"THE REGULAR QUADRILATERAL FUNCTION OF E–LEARNING ENGINEERING: THE MATHEMATICAL CONJUNCTION OF ACCUMULATION AND ADVANCEMENT THAT DEFINES THE LOGIC, RATIONALE, AND ACTIVE INFOMETRICS OF INFORMATION DELIVERY IN THE DIGITAL AGE",https://doi.org/10.26634/jet.14.4.13978,EDWARD OSLER II JAMES,i-manager’s Journal on Educational Psychology,"e-learning system architecture paper, not LE-discipline",openalex|semanticscholar
618,NO,,1,2000,Teaching reform and exploration of Construction Plumbing Works,,Lingjun Zhang,Journal of Henan Urban Construction Junior College,No LE-discipline signals found.,openalex|semanticscholar
619,YES,,1,2022,Ethical Decision-Making Tools,https://doi.org/10.4324/9781003276579-22,Jordan Richard Schoenherr; Jodi Lis,,Schoenherr/Lis LE Toolkit chapter on ethical decision tools for learning engineers.,openalex
620,YES,,1,2022,Introduction,https://doi.org/10.4324/9781003276579-3,Jim Goodell,,Goodell 'Introduction' to LE Toolkit.,openalex
621,NO,,1,2023,Machine Learning Operations,https://doi.org/10.1007/978-3-031-39477-5_13,Gerald Friedland,,ML-engineering sub-field (MLOps/DL eng) without LE context.,openalex
622,YES,,1,2021,Second Workshop on Educational A/B Testing at Scale,https://doi.org/10.1145/3430895.3460876,STEVE RITTER; Neil T. Heffernan; Joseph Jay Williams,,Ritter/Heffernan/Williams 2nd workshop 'The emerging discipline of Learning Engineering'.,openalex|semanticscholar
623,NO,,1,2014,The international cooperation on remote laboratories conducted with engineering didactics,https://doi.org/10.1109/rev.2014.6784251,Raivo Sell; Tiia Rüütmann,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
624,ADJACENT,,1,2004,"EDUTECH : computer-aided design meets computer-aided learning ; IFIP 18th World Computer Congress ; TC10/WG10.5 EduTech Workshop, 22-27 August 2004, Toulouse, France",,Ifip Tc; Carlos Delgado Kloos; Abelardo Pardo,Kluwer Academic Publishers eBooks,EDUTECH IFIP workshop with 'E-Learning Engineering' as topic — adjacent European tradition.,openalex
625,NO,,1,2002,Changing Structures for Delivery - Breaking Traditional Barriers,,Barry Lennox; William Crowther,Research Explorer (The University of Manchester),No LE-discipline signals found.,openalex|semanticscholar
626,NO,,1,2009,Spatial Ability Testing and Its Influence on Engineering Graphics Study,,Ling Tian,Journal of Engineering Graphics,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
627,NO,,1,2018,Cognitive Smart-technology in distance learning of the modern equipment of industrial automation,https://doi.org/10.20998/2411-0558.2018.42.14,Галина Самигулина; Zh.S. Lukmanova,Bulletin of the National Technical University KhPI A series of Information and Modeling,No LE-discipline signals found.,openalex
628,YES,,1,2018,Rethinking Learning in the 21st Century,https://doi.org/10.4324/9781351186193-10,Sanjay E. Sarma,,"Sarma 'cognitive underpinnings of learning, and the opportunities learning engineering affords' — LE-framed.",openalex
629,NO,,1,2023,Using Grasshopper Optimization in Big Data,https://doi.org/10.1007/978-3-031-33614-0_9,Asmaa G. Khalf; Kareem Kamal A. Ghany,"Lecture notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",No abstract and no LE signals in title/venue/authors.,openalex
630,NO,,1,2024,IoT and AI Applied in Engineering Education,https://doi.org/10.1145/3670085.3670092,Jason Liu; Wei Shi,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
631,NO,,1,2020,Future Engineering Professors’ Views of the Role of Motivation in Teaching and Learning,https://doi.org/10.18260/1-2--21417,Ana Torres-Ayala,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
632,NO,,1,2022,A Selection of Engineering Methodologies for Food Product Realisation,https://doi.org/10.1007/978-3-031-07570-4_10,Keshavan Niranjan,Food engineering series,No abstract and no LE signals in title/venue/authors.,openalex
633,NO,,1,2006,Research on Reading Composite Solids Using SolidWorks,,Gao Cheng-hui,,Gao composite solids in SolidWorks — students learning engineering drawing.,openalex|semanticscholar
634,NO,,1,2011,A Review of Problem Based Learning (PBL) Approach in Tertiary Engineering Education,,Sujan Debnath,eSpace (Curtin University),Engineering-education confusable phrasing; no LE venue/figure.,openalex
635,NO,,1,2024,Acceptance of an augmented reality application in an engineering drawing course,https://doi.org/10.1109/icalt61570.2024.00072,Ajay Shankar Tiwari; Toluchuri Shalini Shankar Rao; Utanko Mitra,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
636,NO,,1,2025,Engineering Teacher Discourse in Distance Learning Environment,https://doi.org/10.1007/978-3-658-45398-5_18,Mourat Tchoshanov,,Engineering-education confusable phrasing; no LE venue/figure.,openalex
637,NO,,1,2013,Metodología PBLE como guía del proceso de aprendizaje en Ingeniería. Primeros pasos en la UR,https://doi.org/10.18172/con.540,José Antonio Gómez Cristóbal; Joaquín Ordieres‐Meré; Manuel María Ruiz de Adana Santiago,Contextos Educativos Revista de Educación,No LE-discipline signals found.,openalex|semanticscholar
638,NO,,1,2014,"APLICAÇÃO DE ESTRATÉGIAS DE APRENDIZAGEM AUTORREGULADA EM ALUNOS DA GRADUAÇÃO, PÓS-GRADUAÇÃO E ESPECIALIZAÇÃO DA ENGENHARIA CIVIL DA UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP",https://doi.org/10.14684/copecwc.v5i0.1403,José Carlos Redaelli; Orlando Fontes Lima; Soely Aparecida Jorge Polydoro,Proceedings of COPEC World Congress,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
639,NO,,1,2017,Engaging with industry to improve student learning on undergraduate engineering programmes,https://doi.org/10.1109/ieem.2017.8289860,Mitchell BK Morgan; P O'Gorman,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
640,NO,,1,2022,Understanding Feelings of Inclusion in Making and Engineering,https://doi.org/10.24908/pceea.vi.15935,Justine Boudreau; Hanan Anis,Proceedings of the Canadian Engineering Education Association (CEEA),Engineering-education venue (engineering-ed confusable).,openalex
641,NO,,1,2020,Which aspects of engineering degrees do graduates most value in their working lives?,https://doi.org/10.22503/inftars.xx.2020.2.9,Gareth Thomson,Információs Társadalom,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
642,NO,,1,2020,Enhancing undergraduate engineering education quality through using computer-aided design software,https://doi.org/10.18844/prosoc.v7i3.5250,Emmanuel Chiwuzie; Mohammad Abdel Fattah A. R. Haboush; Kassem Youssef,New Trends and Issues Proceedings on Humanities and Social Sciences,No LE-discipline signals found.,openalex|semanticscholar
643,NO,,1,2012,Capstone Design Projects based on Invention Education,https://doi.org/10.18108/jeer.2012.15.4.31,Joonhwan Shim,Journal of Engineering Education Research,Engineering-education venue (engineering-ed confusable).,openalex|semanticscholar
644,NO,,1,2013,"Intelligent Information and Database Systems: 5th Asian Conference, ACIIDS 2013, Kuala Lumpur, Malaysia, March 18-20, 2013, Proceedings, Part I",https://doi.org/10.1007/978-3-642-36546-1,Ali Selamat; Ngoc Thanh Nguyên; Habibollah Haron,"Digital Access to Libraries (Université catholique de Louvain (UCL), l'Université de Namur (UNamur) and the Université Saint-Louis (USL-B))",No abstract and no LE signals in title/venue/authors.,openalex
645,NO,,1,2016,Project-Based Learning’s Effect on Students’ Understanding and Usage of the Engineering Design Process,,Allison Larsen,SOPHIA (St. Catherine University),Engineering-education confusable phrasing; no LE venue/figure.,openalex
646,NO,,1,2019,Entwicklung eines selbstlernenden Assistenzsystems zur automatischen Akquisition von konstruktionsrelevantem Fertigungswissen,https://doi.org/10.51202/9783186449016,Thilo Breitsprecher,VDI Verlag eBooks,Breitsprecher SLASSY dissertation for manufacturing knowledge acquisition.,openalex
647,NO,,1,2016,Engineering Students' Approaches to Learning Mathematics,https://doi.org/10.4018/978-1-5225-1738-2.ch010,Samuel Olugbenga King,"Advances in educational marketing, administration, and leadership book series",Engineering-education confusable phrasing; no LE venue/figure.,openalex
648,NO,,1,2006,STUDY ON OPERATION STANDARD TIME WITH PRECAST MEMBERS IN CONSTRUCTION OF HIGH-RISE RC BUILDINGS USING HIGH STRENGTH CONCRETE,https://doi.org/10.3130/aijs.71.21_2,Kunihiko KAWAI; Mitsutaka HAYAKAWA; Hiroshi Jinnai,Journal of Structural and Construction Engineering (Transactions of AIJ),Kawai pre-cast construction standard-time uses 'logarithm model of the learning engineering' (learning-curve); civil eng.,openalex
649,YES,,1,2018,Introduction,https://doi.org/10.4324/9781351186193-1,Chris Dede,,Dede introduction chapter to LE-for-Online-Education book.,openalex|semanticscholar
650,YES,,1,2022,Lean-Agile Development Tools,https://doi.org/10.4324/9781003276579-16,Michelle Barrett; Jim Goodell,,Barrett & Goodell LE Toolkit chapter on Lean-Agile tools applied to the LE process.,openalex
651,NO,,1,2025,Perception of Interdisciplinarity and Thinking Styles in STEM Undergraduate Students,https://doi.org/10.1109/edunine62377.2025.10981363,Itzel Hernandez-Armenta; Jesús Alfonso Beltrán-Sánchez; Frank E. Melendez-Anzures,,Engineering-education confusable phrasing; no LE venue/figure.,openalex|semanticscholar
652,NO,,1,2003,Penghasilan modul pembelajaran lukisan kejuruteraan berbantukan komputer,,Nazamuddin Ahmad Razali,,No LE-discipline signals found.,openalex|semanticscholar
653,NO,,1,2024,Evaluating the Impact of E-Learning and Online Assessment on Engineering Education in Oman HEIs during COVID-19: A Mixed-Method Study,https://doi.org/10.33495/jerr_v12i1.23.143,Mohammed Al Siyabi; Abid Ali Khan; Tariq Hussain,Journal of Educational Research and Reviews,Al Siyabi e-learning in Oman engineering education during COVID — EngEd.,openalex|semanticscholar
654,ADJACENT,,1,2019,Advancing Personal Learning and Transdisciplinarity for Developing Identity and Community,https://doi.org/10.4018/978-1-5225-9679-0.ch014,Barbara Truman; Jaclyn M. Truman,Advances in educational technologies and instructional design book series,Truman emerging-tech personal learning; 'improved learning engineering' mentioned in passing; adjacent.,openalex|semanticscholar
655,NO,,1,2025,Comment Feedback Optimization Algorithm (CFOA): A Feedback-Driven Framework for Robust and Adaptive Optimization,https://doi.org/10.54216/jisiot.160210,El El-Sayed; Amel Ali Alhussan; Doaa Sami Khafaga,Journal of Intelligent Systems and Internet of Things,No LE-discipline signals found.,openalex|semanticscholar
656,NO,,1,2009,The development and evaluation of thermodynamics multimedia software for post secondary engineering students,,R. M. Yasin; Z. Osman; M. A. Embi,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
657,NO,,1,2025,A Review on Influx of Bio-Inspired Algorithms: Critique and Improvement Needs,,Shriyank Somvanshi; Md Monzurul Islam; S. Javed,,No LE-discipline signals found.,semanticscholar
658,LIKELY,,1,2021,Toward Scalable Improvement of Large Content Portfolios for Adaptive Instruction,,Stephen E. Fancsali; Hao Li; Steven Ritter,Educational Data Mining,Fancsali/Li/Ritter EDM 2021 Carnegie Learning adaptive-content improvement — no abstract; ICICLE/LE-process community.,semanticscholar
659,NO,,1,2016,Training of Primary School Teachers for the Implementation of Educational Robotics International Symposium on Embedded Systems and Trends in Teaching Engineering,,N. Morze; M. Gladun; Наталія Вікторівна Морзе,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
660,NO,,1,2020,Design of Experiments in Engineering Education,https://doi.org/10.4018/978-1-7998-1518-1.ch015,I. M. João; J. M. Silva,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
661,YES,,1,2021,Sounds and Sippy Cups: New Approaches to Pre-Literacy in Adaptive Game-Based Learning for Young Children,https://doi.org/10.22492/issn.2189-1036.2021.25,Nika Fabienke; B. Kenner; Anastasia Betts,The IAFOR International Conference on Education – Hawaii 2021 Official Conference Proceedings,Fabienke/Kenner/Betts 'iterative cycle of research-informed design – called learning engineering'.,semanticscholar
662,NO,,1,2019,Board 123: Engaging Teachers in Authentic Engineering Design Tasks to Re-ﬁne their Disciplinary Understandings (Work In Progress),https://doi.org/10.18260/1-2--32216,D. M. Portsmore; Jessica Watkins; Dr. Swanson,,No abstract and no LE signals in title/venue/authors.,semanticscholar
663,NO,,1,2025,Strategic innovations and future directions in deep learning for engineering applications: a systematic literature review,https://doi.org/10.3389/feduc.2025.1583404,Arianna G. Tobias; Javeed Kittur,Frontiers in Education,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
664,NO,,1,1993,Designing Microcomputer Courseware: Using Computers as Tools for Learning Engineering Concepts,https://doi.org/10.1007/978-3-642-58055-0_13,T. Liao,,No abstract and no LE signals in title/venue/authors.,semanticscholar
665,NO,,1,2018,Navigating Process-Product Tensions using a Design Canvas,https://doi.org/10.18260/1-2--30833,Dr. R. Alan Cheville,,No abstract and no LE signals in title/venue/authors.,semanticscholar
666,NO,,1,2021,Understanding Feelings of Inclusion in Making and Engineering,https://doi.org/10.20381/ruor-26448,J. Boudreau,Proceedings of the Canadian Engineering Education Association (CEEA),Engineering-education venue (engineering-ed confusable).,semanticscholar
667,NO,,1,2024,Understanding Feedback Mechanisms in Machine Learning Jupyter Notebooks,https://doi.org/10.48550/arxiv.2408.00153,Arumoy Shome; Luís Cruz; D. Spinellis,arXiv.org,No LE-discipline signals found.,semanticscholar
668,NO,,1,2011,Assessing Learning Outcomes in Engineering Education: An e-Learning based approach,,R. Falcão,,No abstract and no LE signals in title/venue/authors.,semanticscholar
669,YES,,1,2023,Fourth Annual Workshop on A/B Testing and Platform-Enabled Learning Research,https://doi.org/10.1145/3573051.3593397,Steven Ritter; N. Heffernan; J. Williams,ACM Conference on Learning @ Scale,Ritter 4th A/B Testing workshop — ICICLE-framed series even without abstract; part of LE workshop series.,semanticscholar
670,NO,,1,2021,A Self Supervised Learning System For Object Detection |,,,,No abstract and no LE signals in title/venue/authors.,semanticscholar
671,LIKELY,,1,2026,A Macrocognitive Design Taxonomy for Simulation-Based Training Systems: Bridging Cognitive Theory and Human–Computer Interaction,https://doi.org/10.3390/computers15020110,Jessica M. Johnson,Computers,Johnson macrocognitive taxonomy 'grounded in... learning engineering practice' — LE invoked but not central.,semanticscholar
